"Date","Rev"
"on April 19, 2016","Love it!"
"on February 22, 2016","Fantastic music app!"
"on March 7, 2016","It's really good."
"on February 12, 2015","Can not stand the commercial every two songs it's as bad as the radio but it does have every song."
"on June 13, 2015","Amazing app I wish I could upgrade to premium on the app using Amazon coins"
"on October 18, 2014","This app is perfect for wifi and only costs a tiny bit to go wifi less :) so much better than the app i was using before."
"on December 30, 2015","In only here so I won't be fined"
"on February 17, 2016","I like spotlight alot"
"on October 28, 2014","I never clicked summit on free trial because you have to pay as soon as its up WHAT THE FLIP IT WONT EVEN LET ME CANCLE"
"on August 28, 2015","I love this! Seriously subscribe 10 a month is so worth it."
"on April 27, 2016","Mudbug"
"on January 21, 2016","I like it plays all my jams"
"on September 27, 2014","This app is really good it is perfect! Any album by any artist is on there and you can listen to any music whenever you want!"
"on December 13, 2014","Love the app, and the music selection overall. Works great for me and highly recommend it to all music lovers."
"on March 1, 2015","I love the access to all my music new and old. I can find all of the music I like with this App."
"on January 7, 2016","It was amazing I love this app"
"on November 7, 2014","If u want to listen to music that u don't have to buy then this is the app for u and u can find all Ur favorite songs"
"on November 9, 2015","Amazing but I don't know how to get premium"
"on March 1, 2016","Awesome Music"
"on August 21, 2014","I like listening to minecraft music and here Spotify have it! DON'T MINE AT NIGHT!!! I love this minecraft parade of this song! :D I"
"on February 28, 2015","Love Spotify! Easy to use, great selection of available music. Worth every bit of monthly fee."
"on January 6, 2015","It's good for music and I get to listen to any music I want. So it's awessoommee.Really awesome.I love it"
"on October 26, 2015","Enjoy the easy access to all my favorite songs"
"on March 1, 2016","Lack of nice song."
"on November 21, 2014","This is one of the best music apps I've ever used: It's simple, easy to use, and has most all of the songs I love!"
"on March 5, 2015","THIS APP IS A PARTY ANIMAL, A CHILL OUT SESSIONS SILENCE AND A MUSIC LOVERS DREAM.SPOTIFY!!!!!!"
"on December 15, 2015","Love it a lot play it all the time!"
"on December 6, 2015","Great for giving me the music I want."
"on November 13, 2015","Best part are the suggested mood playlists"
"on April 12, 2016","Excellent"
"on December 6, 2014","You can pick a song and listen to it over and over again at any time! Can't getting any like this with Pandora!"
"on February 2, 2016","Best music app out there"
"on December 28, 2015","does not get better than spotify"
"on April 30, 2016","Great"
"on April 13, 2015","Spotify is certainly the best music app. There is no flaws at all I can find. I LOVE IT"
"on September 23, 2015","I think it's a great app except sometimes it glitches"
"on September 9, 2015","All I have to say is the it's a GREAT APP FOR MUSIC!!!!!"
"on September 25, 2014","Have only used for a couple of days but it seems great. Lots of good music. Quick and easy to use. Very happy! Good job."
"on December 9, 2015","Spotify is my favorite music app yet"
"on October 29, 2015","I don't know what I would do without spotify!"
"on September 17, 2014","Great mix of all music. User Friendly APP."
"on February 28, 2016","Didn't care for it"
"on December 30, 2014","This app is so good I love it I might just got to premium to have all my friends here all the music I like"
"on December 22, 2015","It's amazing because it's amazing"
"on July 10, 2015","glitchy. cant ever listen to what i want. better than pandora though."
"on January 4, 2015","Great selection of music and cheap if you get premium. Has music I couldnt even find om other music apps!"
"on January 9, 2016","I legit need this app to live"
"on November 29, 2015","A++++ everything you need for music..."
"on January 9, 2016","Its a great app for listening"
"on October 19, 2014","So awesome u can listen 2 anything u want and a week trail 4 listening to it without internet u should totally get I did"
"on October 3, 2014","Can't find anything at the moment that I don't like about it. Believe me though when I do I`ll be sure to let someone know."
"on January 31, 2016","Love it use all the time"
"on January 31, 2016","App for kindle. Love it."
"on January 28, 2015","This is an awesome app! I can listen to any song I want! This is an awesome app! I recommend it!! :)"
"on January 8, 2015","We all get so much pleasure out of this! Love listening to our fave tunes, as well as learning new ones."
"on December 21, 2015","I love this app and all the music"
"on January 26, 2016","I absolutely love spotify"
"on July 27, 2015","It's good but u have to wait For the update to go of line 😊"
"on November 19, 2015","All my music in one spot....get it...lol"
"on September 11, 2015","Okay so spotify is an awesome app and you should get it"
"on April 9, 2016","I like it"
"on December 7, 2014","I enjoy my music by creating my own playlist and are amazed to find all the artists I am looking for each time"
"on December 7, 2015","Can't complain so far so good!!!! ;)"
"on April 22, 2016","love i"
"on April 5, 2017","I like being able to create play lists. Also finding any songs I want to listen to."
"on June 2, 2015","This is the best I can find anything I want. Get this app you will love it."
"on January 2, 2016","I use this App all of the time"
"on March 19, 2016","It is so cool"
"on January 20, 2016","It's cool asome incredible"
"on November 27, 2015","I love the app it's most than i belive"
"on October 26, 2015","Best one yet better then the other music apps"
"on August 27, 2015","Every device I own has Spotify. It's great. Kyle Harrison."
"on February 16, 2016","Spotify is the best!"
"on February 5, 2015","Little bit laggy from time to time but very good app! Background playing is my favorite. Download."
"on December 28, 2015","I get to play my music for free"
"on August 9, 2014","All around a great music app to listen to your favorites and the hottest new songs out there. I personally love it because it's FREE."
"on January 30, 2016","Enjoy the music selections"
"on December 5, 2015","I use it every day and still love it"
"on March 22, 2016","Really enjoy"
"on December 10, 2015","This so much better than I 💜 radio"
"on October 25, 2015","Great Spotify app. Easy to use, no problems."
"on July 15, 2015","Best yet! I only use Spotify now and highly recomend it to others!"
"on July 13, 2014","It worked for awhile but then you have to get the upgrade to be able to get it offline. That parts so stupid doesn't work offline anymore."
"on March 13, 2016","I love spotify"
"on October 29, 2015","Great way to get music 😛😛😛😛😛😛😛😛"
